panel,detector,budget,duration_months,tiw_eval,p_overlap_warning_uniform,tiw_in_window_uniform,p_overlap_indep,p_overlap_minus_indep,cad_win_zero,dtiw_win_zero,dfae_win_zero
score_only,ewma_coh_resid_t2,0.5,6,0.390625,0.6101694915254238,0.3389830508474576,0.9487955390795832,-0.3386260475541595,0.0,0.0,0.0
score_only,cusum_coh_resid_t2,0.5,6,0.671875,1.0,0.6694915254237288,0.9987519386777421,0.001248061322257854,0.0,0.0,0.0
score_only,max_abs,0.75,6,0.4375,0.8135593220338984,0.44350282485875714,0.9683236479759216,-0.15476432594202327,0.0,0.0,0.0
score_only,T2,0.75,6,0.375,0.7288135593220338,0.3898305084745763,0.9403953552246094,-0.21158179590257553,0.0,0.0,0.0
score_only,res_energy,0.75,6,0.296875,0.6440677966101694,0.3050847457627119,0.8791643065487733,-0.23509650993860387,0.0,0.0,0.0
score_only,pc_t2,0.75,6,0.296875,0.6949152542372882,0.27683615819209045,0.8791643065487733,-0.18424905231148514,0.0,0.0,0.0
score_only,stale,0.75,6,0.0625,0.23728813559322035,0.06779661016949153,0.32106584310531616,-0.08377770751209582,0.0,0.0,0.0
score_only,factor_cov_change,0.75,6,0.484375,0.9322033898305084,0.5084745762711864,0.9812066675949609,-0.04900327776445246,0.0,0.0,0.0
score_only,factor_cov_delta,0.75,6,0.28125,0.7966101694915254,0.2824858757062147,0.8621308347210288,-0.0655206652295034,0.0,0.0,0.0
score_only,factor_cov_lrt,0.75,6,0.25,0.576271186440678,0.2627118644067797,0.822021484375,-0.24575029793432202,0.0,0.0,0.0
score_only,factor_cov_lrt_delta,0.75,6,0.15625,0.6101694915254238,0.15536723163841806,0.6391865527257323,-0.029017061200308558,0.0,0.0,0.0
score_only,fused_sp,0.75,6,0.28125,0.6779661016949152,0.288135593220339,0.8621308347210288,-0.18416473302611358,0.0,0.0,0.0
score_only,fused_fisher,0.75,6,0.296875,0.559322033898305,0.2796610169491525,0.8791643065487733,-0.3198422726504683,0.0,0.0,0.0
score_only,fused_sp_lrt_delta,0.75,6,0.25,0.5423728813559322,0.2542372881355932,0.822021484375,-0.2796486030190678,0.0,0.0,0.0
score_only,fused_fisher_lrt_delta,0.75,6,0.390625,0.9322033898305084,0.3757062146892656,0.9487955390795832,-0.016592149249074817,0.0,0.0,0.0
score_only,ewma_factor_cov_lrt,0.75,6,0.40625,0.7457627118644068,0.4293785310734463,0.9561851089820266,-0.21042239711761979,0.0,0.0,0.0
score_only,cusum_factor_cov_lrt,0.75,6,0.484375,0.9322033898305084,0.5169491525423728,0.9812066675949609,-0.04900327776445246,0.0,0.0,0.0
score_only,coh_resid_t2,0.75,6,0.328125,0.7796610169491526,0.31355932203389836,0.9080120607832214,-0.1283510438340688,0.0,0.0,0.0
score_only,coh_resid_energy,0.75,6,0.234375,0.6101694915254238,0.2259887005649717,0.7985827619995689,-0.18841327047414513,0.0,0.0,0.0
score_only,ewma_coh_resid_t2,0.75,6,0.546875,0.864406779661017,0.5084745762711864,0.9913441814569524,-0.12693740179593538,0.0,0.0,0.0
score_only,cusum_coh_resid_t2,0.75,6,0.671875,1.0,0.6694915254237288,0.9987519386777421,0.001248061322257854,0.0,0.0,0.0
score_only,max_abs,1.0,6,0.4375,0.8135593220338984,0.44350282485875714,0.9683236479759216,-0.15476432594202327,0.0,0.0,0.0
score_only,T2,1.0,6,0.40625,0.7288135593220338,0.4011299435028249,0.9561851089820266,-0.22737154965999273,0.0,0.0,0.0
score_only,res_energy,1.0,6,0.34375,0.6949152542372882,0.3559322033898305,0.9201240753754973,-0.22520882113820917,0.0,0.0,0.0
score_only,pc_t2,1.0,6,0.359375,0.711864406779661,0.3559322033898305,0.9308768857590621,-0.21901247897940113,0.0,0.0,0.0
score_only,stale,1.0,6,0.0625,0.23728813559322035,0.06779661016949153,0.32106584310531616,-0.08377770751209582,0.0,0.0,0.0
score_only,factor_cov_change,1.0,6,0.484375,0.9322033898305084,0.5084745762711864,0.9812066675949609,-0.04900327776445246,0.0,0.0,0.0
score_only,factor_cov_delta,1.0,6,0.390625,0.9661016949152542,0.3983050847457627,0.9487955390795832,0.017306155835670967,0.0,0.0,0.0
